_id,UNIT_NO,YEAR,MAKE,MODEL,CATEGORY,CAT_DESC,UNIT_TYPE,CATEGORY_CLASS,CAT_GRP,IN_SERV_DT,STATUS_DESC,CLASS2,HIGH_PRIORITY,OWNER_DIVISION,REF_DIVISION,SEASONAL,AVAILABILITY_YTD
901,047080,2017,TOYOTA,TACOMA,5CE1FTUZZZ,PU-COMP-EC CL1 4X4 10Y UNLEAD,LIGHT DUTY,CLASS1,PICKU-COMP,2017-10-02,Active Unit,FLEE,None,MUNICIPAL LICENSING & STDS,MUNICIPAL LICENSING & STDS,Non Seasonal,0.9401478494623656
902,047081,2017,TOYOTA,TACOMA,5CE1FTUZZZ,PU-COMP-EC CL1 4X4 10Y UNLEAD,LIGHT DUTY,CLASS1,PICKU-COMP,2017-10-02,Active Unit,FLEE,None,MUNICIPAL LICENSING & STDS,MUNICIPAL LICENSING & STDS,Non Seasonal,0.997557123655914
903,047082,2017,TOYOTA,TACOMA,5CE1FTUZZZ,PU-COMP-EC CL1 4X4 10Y UNLEAD,LIGHT DUTY,CLASS1,PICKU-COMP,2017-10-02,Active Unit,FLEE,None,MUNICIPAL LICENSING & STDS,MUNICIPAL LICENSING & STDS,Non Seasonal,1
904,047083,2017,TOYOTA,TACOMA,5CE1FTUZZZ,PU-COMP-EC CL1 4X4 10Y UNLEAD,LIGHT DUTY,CLASS1,PICKU-COMP,2017-10-02,Active Unit,FLEE,None,MUNICIPAL LICENSING & STDS,MUNICIPAL LICENSING & STDS,Non Seasonal,0.9556121191756272
905,047084,2017,TOYOTA,TACOMA,5CE1FTUZZZ,PU-COMP-EC CL1 4X4 10Y UNLEAD,LIGHT DUTY,CLASS1,PICKU-COMP,2017-09-25,Active Unit,FLEE,None,MUNICIPAL LICENSING & STDS,MUNICIPAL LICENSING & STDS,Non Seasonal,0.9414745743727598
906,047085,2017,TOYOTA,TACOMA,5CE1FTUZZZ,PU-COMP-EC CL1 4X4 10Y UNLEAD,LIGHT DUTY,CLASS1,PICKU-COMP,2017-10-03,Active Unit,FLEE,None,MUNICIPAL LICENSING & STDS,MUNICIPAL LICENSING & STDS,Non Seasonal,0.9619466845878136
907,047086,2020,CHEVROLET,COLORADO,5CE1TTUZZZ,PU-COMP-EC CL1 4X2 10Y UNLEAD,LIGHT DUTY,CLASS1,PICKU-COMP,2020-07-08,Active Unit,FLEE,None,MUNICIPAL LICENSING & STDS,MUNICIPAL LICENSING & STDS,Non Seasonal,0.9744259632616488
908,048045,2011,DODGE,RAM 1500,5HC2FTUZZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD,LIGHT DUTY,CLASS2,PICKU-1/2T,2010-10-29,Replacement Program,FLEE,None,PARKS & RECREATION,PARKS & RECREATION,Non Seasonal,0.9928634632616488
909,048047,2012,CHEVROLET,1500,5HC2TTUZZZ,PU-1/2T-CC CL2 4X2 10Y UNLEAD,LIGHT DUTY,CLASS2,PICKU-1/2T,2012-05-16,Replacement Program,FLEE,None,PARKS & RECREATION,PARKS & RECREATION,Non Seasonal,1
910,048048,2012,CHEVROLET,1500,5HC2TTUZZZ,PU-1/2T-CC CL2 4X2 10Y UNLEAD,LIGHT DUTY,CLASS2,PICKU-1/2T,2012-05-16,Active Unit,FLEE,None,FACILITIES MGMT & REAL ESTATE,FACILITIES MGMT & REAL ESTATE,Non Seasonal,0.9999910394265232
911,048049,2018,DODGE,RAM 1500,5HC2TTUZZZ,PU-1/2T-CC CL2 4X2 10Y UNLEAD,LIGHT DUTY,CLASS2,PICKU-1/2T,2018-01-17,Active Unit,FLEE,None,SOLID WASTE MANAGEMENT,SOLID WASTE MANAGEMENT,Non Seasonal,0.9933322132616488
