_id,UNIT_NO,YEAR,MAKE,MODEL,Specialized units,REF_USING_DIV,Utilization
134,045152,2019,DODGE,RAM 1500 (TRADESMAN),Yes,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
135,045153,2019,DODGE,RAM 1500 (TRADESMAN),Yes,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
136,045154,2019,DODGE,RAM 1500 (TRADESMAN),Yes,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
137,045155,2019,DODGE,RAM 1500 (TRADESMAN),Yes,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
138,045156,2019,DODGE,RAM 1500 (TRADESMAN),Yes,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
139,045157,2019,DODGE,RAM 1500 (TRADESMAN),Yes,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
140,045158,2019,DODGE,RAM 1500 (TRADESMAN),Yes,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
141,045159,2019,DODGE,RAM 1500 (TRADESMAN),Yes,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
142,045160,2019,DODGE,RAM 1500 (TRADESMAN),Yes,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
143,045161,2019,DODGE,RAM 1500 (TRADESMAN),Yes,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
144,045202,2022,DODGE,RAM 1500,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
145,045203,2022,DODGE,RAM 1500,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
146,046036,2024,CHEVROLET,COLORADO,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
147,046040,2024,CHEVROLET,COLORADO,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
148,046041,2024,CHEVROLET,COLORADO,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
149,046042,2024,CHEVROLET,COLORADO,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
150,046046,2024,CHEVROLET,COLORADO,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
151,050046,2019,DODGE,RAM 1500 (TRADESMAN),Yes,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
152,050066,2019,DODGE,RAM 1500 (TRADESMAN),Yes,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
153,050067,2019,DODGE,RAM 1500 (TRADESMAN),Yes,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
154,050090,2020,DODGE,RAM 1500 (TRADESMAN),No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
155,050091,2020,DODGE,RAM 1500 (TRADESMAN),No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
156,050092,2020,DODGE,RAM 1500 (TRADESMAN),No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
157,050183,2023,CHEVROLET,1500,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
158,050184,2023,CHEVROLET,1500,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
159,050185,2023,CHEVROLET,1500,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
160,050186,2023,CHEVROLET,1500,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
161,050217,2023,FORD,F150 LIGHTNING,Yes,"ENVIRONMENT, CLIMATE & FORESTR",Underutilized
162,050220,2023,FORD,F150 LIGHTNING,Yes,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
163,050221,2023,FORD,F150 LIGHTNING,Yes,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
164,050222,2023,FORD,F150 LIGHTNING,Yes,"ENVIRONMENT, CLIMATE & FORESTR",Underutilized
165,050223,2023,FORD,F150 LIGHTNING,Yes,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
166,064102,2009,FORD,F250,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
167,067072,2019,DODGE,RAM 2500,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
168,067073,2019,DODGE,RAM 2500,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
169,095159,2018,FORD,TRANSIT CONN,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
170,095160,2018,FORD,TRANSIT CONN,No,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
171,112492,2020,FORD,TRANSIT 250,Yes,"ENVIRONMENT, CLIMATE & FORESTR",Not Underutilized
172,001108,2017,NISSAN,VERSA NOTE,No,FACILITIES MGMT & REAL ESTATE,Not Underutilized
173,001166,2022,CHEVROLET,SPARK LS,No,FACILITIES MGMT & REAL ESTATE,Not Underutilized
174,001167,2022,CHEVROLET,SPARK LS,No,FACILITIES MGMT & REAL ESTATE,Not Underutilized
175,003226,2017,CHEVROLET,BOLT EV,No,FACILITIES MGMT & REAL ESTATE,Underutilized
176,005050,2025,FORD,INTERCEPTOR,No,FACILITIES MGMT & REAL ESTATE,Not Underutilized
177,005051,2025,FORD,INTERCEPTOR,No,FACILITIES MGMT & REAL ESTATE,Not Underutilized
178,041190,2016,FORD,ESCAPE,No,FACILITIES MGMT & REAL ESTATE,Not Underutilized
179,041192,2016,FORD,ESCAPE,No,FACILITIES MGMT & REAL ESTATE,Not Underutilized
180,041268,2018,FORD,ESCAPE,No,FACILITIES MGMT & REAL ESTATE,Not Underutilized
181,041295,2018,FORD,ESCAPE,No,FACILITIES MGMT & REAL ESTATE,Not Underutilized
182,041302,2019,FORD,ESCAPE,No,FACILITIES MGMT & REAL ESTATE,Underutilized
183,041399,2020,CHEVROLET,EQUINOX,No,FACILITIES MGMT & REAL ESTATE,Not Underutilized
184,041400,2020,CHEVROLET,EQUINOX,No,FACILITIES MGMT & REAL ESTATE,Not Underutilized
185,041401,2021,CHEVROLET,EQUINOX,No,FACILITIES MGMT & REAL ESTATE,Not Underutilized
186,041419,2022,CHEVROLET,EQUINOX,No,FACILITIES MGMT & REAL ESTATE,Not Underutilized
187,041515,2024,CHEVROLET,EQUINOX EV,No,FACILITIES MGMT & REAL ESTATE,Not Underutilized
188,041516,2024,CHEVROLET,EQUINOX EV,No,FACILITIES MGMT & REAL ESTATE,Not Underutilized
189,041517,2024,CHEVROLET,EQUINOX EV,No,FACILITIES MGMT & REAL ESTATE,Not Underutilized
190,043188,2007,GMC,SIERRA 1500,No,FACILITIES MGMT & REAL ESTATE,Underutilized
191,044090,2017,DODGE,RAM 1500,No,FACILITIES MGMT & REAL ESTATE,Not Underutilized
192,048048,2012,CHEVROLET,1500,No,FACILITIES MGMT & REAL ESTATE,Underutilized
193,050149,2022,DODGE,RAM 1500,No,FACILITIES MGMT & REAL ESTATE,Not Underutilized
194,050150,2022,DODGE,RAM 1500,No,FACILITIES MGMT & REAL ESTATE,Underutilized
195,050151,2022,DODGE,RAM 1500,No,FACILITIES MGMT & REAL ESTATE,Not Underutilized
196,050212,2023,FORD,F150 LIGHTNING,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
197,050283,2024,CHEVROLET,SILVERADO EV,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
198,062081,2011,DODGE,RAM 2500,No,FACILITIES MGMT & REAL ESTATE,Not Underutilized
199,064169,2017,FORD,F250 4X4,No,FACILITIES MGMT & REAL ESTATE,Not Underutilized
200,064175,2017,FORD,F250 4X4,No,FACILITIES MGMT & REAL ESTATE,Not Underutilized
201,065060,2012,FORD,F250,No,FACILITIES MGMT & REAL ESTATE,Underutilized
202,067025,2012,DODGE,RAM 2500,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
203,067051,2017,FORD,F250 4X4,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
204,075013,2019,CHEVROLET,COLORADO,No,FACILITIES MGMT & REAL ESTATE,Not Underutilized
205,077021,2012,FORD,F350 S. DUTY,No,FACILITIES MGMT & REAL ESTATE,Underutilized
206,077022,2012,FORD,F350 S. DUTY,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
207,094077,2012,DODGE,CARAVAN,No,FACILITIES MGMT & REAL ESTATE,Underutilized
208,094095,2017,FORD,TRANSIT CONN,No,FACILITIES MGMT & REAL ESTATE,Not Underutilized
209,094096,2017,FORD,TRANSIT CONN,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
210,094098,2017,FORD,TRANSIT CONN,No,FACILITIES MGMT & REAL ESTATE,Not Underutilized
211,094119,2019,CHRYSLER,GRAND CARAVAN,No,FACILITIES MGMT & REAL ESTATE,Not Underutilized
212,094132,2021,DODGE,GRAND CARAVA,No,FACILITIES MGMT & REAL ESTATE,Not Underutilized
213,094147,2024,CHRYSLER,PACIFICA,No,FACILITIES MGMT & REAL ESTATE,Underutilized
214,094150,2026,CHRYSLER,PACIFICA PHEV,No,FACILITIES MGMT & REAL ESTATE,Not Underutilized
215,095143,2017,FORD,TRANSIT CONN,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
216,095144,2017,FORD,TRANSIT CONN,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
217,095145,2017,FORD,TRANSIT CONN,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
218,095146,2017,FORD,TRANSIT CONN,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
219,095147,2017,FORD,TRANSIT CONN,Yes,FACILITIES MGMT & REAL ESTATE,Underutilized
220,095148,2017,FORD,TRANSIT CONN,Yes,FACILITIES MGMT & REAL ESTATE,Not Underutilized
